text,category,weight
I enjoy working with computers and technology,technical,1
I like solving complex coding problems,technical,2
I'm interested in learning new programming languages,technical,1
I enjoy building and fixing technical systems,technical,1
I like automating repetitive tasks,technical,2
I enjoy creating visual designs and artwork,creative,1
I like thinking of innovative solutions to problems,creative,2
I'm good at coming up with new ideas,creative,1
I enjoy writing creative content,creative,1
I like experimenting with different design tools,creative,1
I enjoy analyzing data and finding patterns,analytical,2
I'm good at breaking down complex problems into smaller parts,analytical,1
I like working with numbers and statistics,analytical,1
I enjoy conducting research and investigations,analytical,2
I'm comfortable making data-driven decisions,analytical,1
I enjoy helping others and working in teams,social,1
I like teaching or mentoring people,social,2
I'm good at understanding others' perspectives,social,1
I enjoy organizing events and bringing people together,social,1
I like communicating ideas clearly to others,social,2
I'm good at managing projects and meeting deadlines,practical,1
I enjoy hands-on work and seeing tangible results,practical,2
I like organizing and planning activities,practical,1
I'm comfortable with practical problem-solving,practical,1
I enjoy working in structured environments,practical,1
