text,dimension,weight
How comfortable are you with programming and coding?,Technical,1.0
Do you enjoy solving mathematical problems?,Analytical,1.0
How much do you like working in teams?,Teamwork,1.0
Are you interested in leading projects and people?,Leadership,1.0
Do you enjoy creative activities like design or writing?,Creative,1.0
How interested are you in helping others?,Social,1.0
Do you like working with data and statistics?,Analytical,1.0
How comfortable are you with public speaking?,Communication,1.0
Do you enjoy learning new technologies?,Technical,1.0
How interested are you in starting your own business?,Entrepreneurial,1.0
