name,description,industry,average_salary,growth_rate,education_required
Software Engineer,Designs and develops software applications and systems,Technology,110000,22,Bachelor's in Computer Science or related field
Data Scientist,Analyzes complex data to help companies make better decisions,Technology,120000,31,Bachelor's in Statistics/Math or related field
Registered Nurse,Provides and coordinates patient care and educates patients,Healthcare,75000,7,Associate's or Bachelor's in Nursing
Marketing Manager,Plans and directs marketing policies and programs,Business,135000,10,Bachelor's in Marketing or Business
Mechanical Engineer,Designs and develops mechanical and thermal devices,Engineering,88000,4,Bachelor's in Mechanical Engineering
Graphic Designer,Creates visual concepts to communicate ideas,Creative Arts,52000,3,Bachelor's in Graphic Design or related field
Financial Analyst,Guides businesses and individuals in financial decisions,Finance,85000,6,Bachelor's in Finance or related field
Teacher,Educates students and helps them develop knowledge and skills,Education,60000,4,Bachelor's in Education
Psychologist,Studies mental processes and human behavior,Healthcare,80000,3,Doctoral or Professional degree
Civil Engineer,Designs and oversees construction of infrastructure projects,Engineering,87000,2,Bachelor's in Civil Engineering
